Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Hotel Heritage,,,Hotel,"Charbagh, Lucknow ",₹600per plate,360-600,37,+3 more
The Carlton Hotel,4.9,21 reviews,Lawn & Banquet Hall,"Hazratganj, Lucknow ","₹1,200per plate",50-200,,+2 more
The Centrum,5.0,3 reviews,5 Star Resort,Lucknow ,"₹4,000per plate",50-2500,116,+3 more
Keshav Hotel and Lawn,,,Lawn & Banquet Hall,Lucknow ,"₹45,000per plate",100-680,14,+4 more
Rangoli Palace,,,Banquet Hall,Lucknow ,₹300per plate,360-600,,+2 more
Mangalam Grand,,,Lawn & Banquet Hall,Lucknow ,Price on Request,300-600,7,+3 more
Aamrapaali Water Park and Resort,,2 reviews,Resort,Lucknow ,"₹1,250per plate",1500-2000,73,+3 more
Krishna Vatika,,,Lawn & Banquet Hall,"Jankipuram, Lucknow ",₹500per plate,100-500,,+2 more
Gabbar's Banquets Rooms Restro,,,Banquet Hall & Lawn,"Fazullaganj, Lucknow ",₹650per plate,250-300,25,+4 more
Royal Aayojanam,5.0,1 review,Banquet Hall & Lawn,"Jankipuram Extension, Lucknow ","₹1,100per plate",100-1500,29,+3 more
Rukmani Lawn,,,Hotel,Lucknow ,"₹2,50,000per function",300-600,16,+4 more
Anand Utsav Banquet & Lawn,,,Banquet Hall & Lawn,Lucknow ,₹700per plate,150-1000,,+2 more
R.K. Marriage Lawn & Hall,,,Lawn & Banquet Hall,Lucknow ,"₹1,50,000per plate",450-2500,5,+4 more
Chef Bite,,,Banquet Hall,"Aliganj, Lucknow ",₹400per plate,120-200,,+2 more
Hotel Vivid,,,Small Function Hall,"Gomti Nagar, Lucknow ",₹500per plate,60-100,17,+3 more
Hotel Maharaja Palace,5.0,5 reviews,Banquet Hall & Lawn,"Chomu, Jaipur ","₹2,000per plate",100-150,21,+4 more
Shahi Bagh,5.0,1 review,Wedding Lawn,Jaipur ,Price on Request,350-550,,+2 more
Sodhani Farm,5.0,1 review,Lawn & Banquet Hall,"Sitapura, Jaipur ",₹800per plate,150-3000,13,+3 more
Miracle Resort,5.0,2 reviews,Lawn & Banquet Hall,Jaipur ,"₹3,00,000per function",700-2500,,+3 more
The Party Banquet by The Century Stays,,,Hotel,Jaipur ,₹850per plate,100-120,22,+3 more
Vrindavan Resort,,,Lawn & Banquet Hall,Jaipur ,"₹1,250per plate",150-600,9,+4 more
RAS Club,,2 reviews,Hotel,"Bajaj Nagar, Jaipur ",₹750per plate,30-550,40,+3 more
"The Byke Grassfield Resort with Outdoor Pool, Jaipur",5.0,2 reviews,Intimate Wedding Resort,Jaipur ,₹600per plate,100-1200,45,+3 more
The Urban Turban,,1 review,Lawn & Banquet Hall,"Amer Road, Jaipur ",Price on Request,80-1000,,+2 more
Castle Kanota,5.0,2 reviews,Fort / Palace Hotel,"Sanganer, Jaipur ","₹6,00,000per plate",60-250,24,+4 more
Baba Paradise Marriage Garden,5.0,1 review,Banquet Hall & Lawn,"Mansarovar, Jaipur ",₹400per plate,2800-3700,,+2 more
Balaji Seven Hills Resort,5.0,1 review,Resort,"Kanakpura, Jaipur ","₹1,500per plate",100-1800,52,+3 more
Borabora Farm Jaipur,,,Farmhouse,Jaipur ,"₹40,000per function",150-200,3,+4 more
Zone By The Park Jaipur,5.0,4 reviews,4 Star Hotel,"Bani Park, Jaipur ",₹750per plate,50-200,47,+3 more
Radhika Palace,5.0,1 review,Wedding Lawn,"Muhana Mandi Road, Jaipur ","₹1,75,000per function",1800-2500,,+3 more
The Golden Days Club Resort & Spa,5.0,4 reviews,Resort,Jaipur ,₹550per plate,110-500,68,+4 more
Hotel Om Palace,,1 review,Hotel,"Vaishali Nagar, Jaipur ",₹350per plate,50-1000,31,+3 more
Love Kush Hotel,5.0,1 review,Hotel,Jaipur ,Price on Request,150-1000,31,+3 more
Heera Valley Resort,5.0,1 review,Wedding Lawn,"Sanganer, Jaipur ",₹700per plate,500-700,,+3 more
Raj Aangan Resort,,2 reviews,Lawn & Banquet Hall,"Mansarovar, Jaipur ",Price on Request,400-1000,,+2 more
Sanskriti Greens,5.0,2 reviews,Farmhouse With Banquet,"Ankheer, Faridabad ","₹2,000per plate",300-1500,1,+3 more
Tivoli Royal Palace,5.0,15 reviews,Hotel,Palwal ,"₹1,699per plate",250-2500,45,+5 more
Pulse Impulse,5.0,1 review,Farmhouse With Banquet,"South Delhi, Delhi NCR ",₹750per plate,50-200,,+3 more
Ganeshwaram Restaurant and Banquet,5.0,1 review,Hotel,Noida ,"₹1,100per plate",70-100,30,+3 more
Peacock Bay Farmhouse,5.0,1 review,Farmhouse With Banquet,Delhi NCR ,Price on Request,20-200,3,+3 more
Rama Banquet Hall Noida,4.8,6 reviews,Banquet Hall,"East Delhi, Noida ","₹2,000per plate",100-1000,,+2 more
Jiya Garden,5.0,1 review,Farmhouse,"Bahadurgarh, Delhi NCR ",₹500per plate,800-1000,,+3 more
Iraluxe,5.0,3 reviews,Wedding Lawn,Delhi NCR ,"₹3,50,000per plate",100-150,5,+4 more
Crowne Plaza Greater Noida,,17 reviews,5 Star Hotel,Noida ,"₹3,600per plate",30-1000,398,+4 more
Elate By Drool,4.7,3 reviews,Banquet Hall,"Dwarka, Delhi NCR ","₹1,500per plate",200-350,,+2 more
AISF Hall,5.0,5 reviews,Banquet Hall,"Lajpat Nagar, Delhi NCR ","₹1,200per plate",200-250,,+2 more
Hotel B City Mark,5.0,1 review,4 Star Hotel,Gurgaon ,"₹1,000per plate",300-400,80,+3 more
The Grand Taj Banquet & Conventions,5.0,3 reviews,Banquet Hall,"Gurgaon, Gurgaon ","₹2,100per plate",400-600,2,+3 more
Atlantis by Kawatra Tent,4.8,10 reviews,Banquet Hall,"Hari Nagar, Delhi NCR ","₹2,250per plate",250-700,,+3 more
Corus Banquet ,,7 reviews,Hotel,"Sector 14, Gurgaon ","₹1,500per plate",100-500,36,+3 more
 Andaz Delhi by Hyatt,4.6,7 reviews,5 Star Hotel,"Aerocity, Delhi NCR ","₹5,000per plate",60-1200,398,+3 more
Fortuna Banquet,5.0,6 reviews,Banquet Hall,Gurgaon ,"₹1,200per plate",60-250,1,+3 more
Immense Residency,4.9,13 reviews,Hotel,"Faridabad, Faridabad ",₹750per plate,450-500,36,+4 more
Janwasa Banquet Hall,,8 reviews,Banquet Hall,"Rohini, Delhi NCR ","₹1,100per plate",200-400,6,+3 more
SS Grand ,5.0,1 review,Farmhouse,"Noida, Noida ","₹1,000per plate",200-500,,+2 more
Kapaleeswarar Hall,5.0,1 review,Banquet Hall,"Mylapore, Chennai ",₹300per plate,150-200,,+2 more
The Grand Blossoms Resort,5.0,1 review,Resort,"Redhills, Chennai ",₹600per plate,2500-3000,17,+3 more
Hotel Chennai Le Palace,5.0,1 review,Hotel,"Porur, Chennai ",₹750per plate,400-500,50,+3 more
Aarna Mahal,,3 reviews,Banquet Hall,"Pallikaranai, Chennai ",₹400per plate,210-450,,+3 more
Zai Palace,5.0,1 review,Banquet Hall,Chennai ,₹500per plate,120-200,,+3 more
Novotel Chennai Sipcot,5.0,2 reviews,5 Star Hotel,Chennai ,₹900per plate,250-450,180,+3 more
Hotel Grand Residence,5.0,1 review,Hotel,"Porur, Chennai ",₹600per plate,20-225,64,+3 more
Midnight Sun Banquet Space,4.9,5 reviews,Lawn & Banquet Hall,Chennai ,"₹50,000per function",50-150,,+3 more
GPN Palace,4.8,5 reviews,Hotel,"Avadi, Avadi ",Price on Request,2000-3000,46,+3 more
"Welcomhotel By ITC Hotels, Kences Palm Beach",4.6,4 reviews,4 Star Hotel,Chennai ,Price on Request,60-1500,94,+3 more
Aruljothi Wedding Hall AC,5.0,1 review,Banquet Hall,"Ambattur, Chennai ",₹800per plate,400-600,,+2 more
"Praneetha Palace, Kodungaiyur",5.0,1 review,Convention Hall,"Kodungaiyur, Chennai ",₹300per plate,700-1000,,+2 more
Ramu Kalyana Mandapam,5.0,1 review,Kalyana Mandapam,"Ambattur, Chennai ",Price on Request,200-300,,+2 more
Bapalal Bhavan,5.0,1 review,Banquet Hall,"Thiruvanmiyur, Chennai ",₹550per plate,450-700,,+2 more
Spring Brook,,3 reviews,Wedding Lawn,"ECR East Coast Road, Chennai ","₹1,000per plate",400-500,2,+3 more
Rahman Mahal Kalyana Mandapam,5.0,1 review,Kalyana Mandapam,"Pallavaram, Chennai ",₹600per plate,200-300,,+2 more
Four Points Mahabalipuram Resort and Convention Center,5.0,1 review,4 Star Resort,Chennai ,"₹1,500per plate",3500-4000,90,+3 more
Kipling Cafe,5.0,1 review,Wedding Lawn,"Injambakkam, Chennai ",₹800per plate,45-60,,+2 more
Thanthai Periyar Community Hall,5.0,1 review,Banquet Hall,"Anna Nagar, Chennai ",₹300per plate,360-600,,+2 more
Kheni Banquet Hall,5.0,1 review,Hotel,"Parthasarathi, Chennai ",Price on Request,75-100,43,+3 more
The Elite Suites,5.0,1 review,Hotel,"Viman Nagar, Pune ",₹450per plate,175-300,34,+3 more
Royal Orchid Golden Suites,,3 reviews,4 Star Hotel,"Kalyani Nagar, Pune ","₹1,000per plate",80-150,71,+3 more
Sky Event Lawn,,,Wedding Lawn,Lonavala ,₹400per plate,800-1200,52,+4 more
"Hotel Kohinoor Executive, Deccan Gymkhana, Pune",4.5,1 review,Hotel,Pune ,₹700per plate,150-400,30,+3 more
The Pride Hotel,5.0,3 reviews,Hotel,"Shivajinagar, Pune ","₹1,300per plate",120-400,112,+3 more
Ammora Resort,5.0,1 review,Hotel,Lonavala ,"₹1,250per plate",300-1500,59,+3 more
Carnival Restaurant and Bar,5.0,1 review,Party Restaurant / Lounge,"Koregaon Park, Pune ","₹1,000per plate",120-200,,+2 more
Aquarius Resort & Lawns,,6 reviews,Resort,Pune ,₹750per plate,700-800,22,+3 more
"Holiday Inn, Hinjewadi",5.0,1 review,Banquet Hall & Lawn,Pune ,"₹1,000per plate",80-250,,+2 more
Quality Inn Mint,4.5,1 review,Hotel,Pune ,₹800per plate,200-400,42,+3 more
Swarg Resort,4.5,1 review,Resort,Pune ,"₹2,50,000per function",300-400,30,+4 more
"Shreeji Banquet & Lawns, Bibwewadi",5.0,1 review,Banquet Hall & Lawn,"Kondhwa, Pune ",₹900per plate,650-3500,,+2 more
Tanishq Banquets,,1 review,Banquet Hall,Pune ,"₹45,000per function",250-500,,+3 more
Rainforest Villa,,,Banquet Hall & Lawn,Lonavala ,₹500per plate,150-1000,23,+3 more
Area 37,,1 review,Lawn & Banquet Hall,"Lullanagar, Pune ",₹975per plate,180-800,10,+3 more
The Sky Kitchen & Banquets,5.0,1 review,Banquet Hall,"Sinhagad Road, Pune ",Price on Request,150-250,,+2 more
Emerald Party & Marriage Hall,4.9,7 reviews,Large Banquet Hall,Pune ,₹499per plate,300-700,18,+4 more
Copa De Colina - Hilltop Restaurant & Bar,5.0,1 review,Lawn & Banquet Hall,Pune ,₹699per plate,150-600,2,+3 more
Hilton Garden Inn Pune Hinjwadi,5.0,1 review,5 Star Hotel,"Hinjewadi, Pimpri Chinchwad ","₹1,300per plate",50-400,144,+4 more
La Fantasia,5.0,1 review,Lawn & Banquet Hall,"Pimpri Chinchwad, Pimpri Chinchwad ","₹1,40,000per function",150-2500,5,+4 more
Mani D Lounge,,,Banquet Hall,"Jankipuram, Lucknow ",₹500per plate,200-250,,+2 more
Raj Estate's Celebration,,,Hotel,Lucknow ,₹450per plate,120-1500,40,+3 more
SKM Paradise,,,Wedding Lawn,"Vikas Nagar, Lucknow ","₹95,000per function",1000-1500,,+3 more
Four-N Lawn,,,Wedding Lawn,"Gomti Nagar, Lucknow ",₹300per plate,600-1000,,+2 more
Mahalaxmi Lawn,,,Lawn & Banquet Hall,"Jankipuram Extension, Lucknow ",Price on Request,650-1400,,+2 more
Lucknow Garden,,,Wedding Lawn,Lucknow ,"₹1,00,000per function",1500-3000,,+3 more
Hotel Casa Aishbagh,5.0,4 reviews,Banquet Hall & Lawn,"Charbagh, Lucknow ","₹1,650per plate",45-500,18,+3 more
Shri Ram Marriage Hall and Convention Center,,,Lawn & Banquet Hall,"Gomti Nagar, Lucknow ",₹500per plate,200-750,,+2 more
Arc En Ciel,,,Small Function Hall,Lucknow ,₹550per plate,60-100,22,+3 more
Satya Shiv Resorts,,,Wedding Lawn,"SGPGI Rae Bareilly Road, Lucknow ",Price on Request,1200-2000,,+2 more
Click Hotel Transport Nagar,,,Hotel,Lucknow ,"₹1,200per plate",35-150,62,+3 more
Sai Vatika,,,Banquet Hall,"Gomti Nagar, Lucknow ",₹400per plate,350-400,11,+4 more
Mangalam Lawn,,,Wedding Lawn,Lucknow ,₹650per plate,600-1000,,+2 more
Hotel Pinnacle by 1589,,,Hotel,"LDA Colony, Lucknow ","₹1,000per plate",100-250,35,+3 more
Vardaan Lawn,,,Wedding Lawn,"Gomti Nagar, Lucknow ",Price on Request,600-1000,,+2 more
Elysian Grand Hotel and Restaurant,,,Hotel,Lucknow ,"₹25,000per function",150-200,18,+4 more
Vishesh Resort,,,Banquet Hall,"Kanpur Road, Lucknow ",₹750per plate,300-450,,+2 more
Hans lawn,,,Lawn & Banquet Hall,Lucknow ,₹550per plate,200-1500,,+2 more
JK Grand Resorts,,,Lawn & Banquet Hall,Lucknow ,₹550per plate,360-1500,,+2 more
Chaudhary's Garden Marriage Lawn,,,Wedding Lawn,Lucknow ,Price on Request,600-1200,,+2 more
Kawa Marriage Garden,5.0,1 review,Wedding Lawn,Jaipur ,₹700per plate,250-300,3,+4 more
Moon Paradise,,1 review,Hotel,"Niwaru Road, Jaipur ","₹1,80,000per function",450-3500,30,+4 more
Fort - Kitchen and Banquet,5.0,1 review,Banquet Hall,"Sanganer, Jaipur ","₹1,300per plate",200-300,,+2 more
Utsav Marriage Hall,4.8,2 reviews,Hotel,"Vidhyadhar Nagar, Jaipur ",₹800per plate,700-1050,50,+3 more
Kanchan Bagh Resort and Marriage Garden,,,Hotel,Jaipur ,"₹3,00,000per function",1200-1500,27,+4 more
Krishna Palace,5.0,1 review,Resort,"Murlipura, Jaipur ",₹450per plate,150-300,26,+3 more
Jan Udyogi Bhawan Sansthan,5.0,1 review,Banquet Hall,"Shastri Nagar, Jaipur ",₹450per plate,200-350,,+2 more
Suryaa Villa,5.0,1 review,Small Function Hall,"Adarsh Nagar, Jaipur ",₹850per plate,30-100,24,+3 more
Tan Sukh Banquet,5.0,1 review,Banquet Hall,"Queens Road, Jaipur ",₹600per plate,700-1000,,+2 more
Gazibo Jaipur,5.0,1 review,Wedding Lawn,Jaipur ,₹850per plate,1000-1300,,+2 more
Hotel SunCity Plaza,,,Small Function Hall,"Tonk Road, Jaipur ",₹550per plate,10-100,29,+3 more
Achrol Bagh,5.0,1 review,Hotel,Jaipur ,"₹1,800per plate",60-200,75,+4 more
Isha Niwas Guest House,4.6,11 reviews,Banquet Hall,Jaipur ,₹800per plate,400-600,15,+3 more
Aanchal Palace Hotel,,,Hotel,Jaipur ,₹700per plate,100-120,17,+3 more
"Brij Bageecha, Jaipur | Private Villas with Plunge Pools",,,5 Star Hotel,Jaipur ,"₹3,500per plate",100-800,20,+3 more
Hotel Nilax,5.0,1 review,Banquet Hall,Jaipur ,₹600per plate,200-300,27,+3 more
Hotel Narain Niwas Palace,4.9,4 reviews,Palace Hotel,Jaipur ,"₹3,500per plate",30-700,40,+4 more
Hotel CM Palace,,,Hotel,Jaipur ,"₹18,000per function",70-100,15,+4 more
"Roop Garh Palace, Jaipur",4.8,2 reviews,Hotel,Jaipur ,"₹25,50,000per function",200-2000,150,+4 more
Bandhan Paradise,5.0,1 review,Lawn & Banquet Hall,Jaipur ,"₹60,000per plate",180-1500,7,+4 more
La Mansion Banquets,4.5,19 reviews,Banquet Hall,"Wazirpur, Delhi NCR ","₹1,800per plate",150-550,,+2 more
Orana Hotels and Resorts,4.7,7 reviews,Resort,"Aerocity, Delhi NCR ","₹4,000per plate",75-1500,49,+3 more
Mahawar Vaish Bhawan,5.0,1 review,Banquet Hall,Delhi NCR ,Price on Request,450-700,,+2 more
Cherish Banquets,4.8,7 reviews,Banquet Hall,"Wazirpur, Delhi NCR ","₹1,050per plate",60-600,,+2 more
"Red K Velvet by Kawatra, Alipur, Delhi",5.0,4 reviews,Banquet with Lawn,Delhi NCR ,"₹3,000per plate",300-650,,+2 more
Hot Mess Bar CP,5.0,1 review,Party Restaurant / Lounge,"Connaught Place, Delhi NCR ",₹650per plate,80-140,,+2 more
Grand Seasons Banquet,5.0,1 review,Banquet Hall,"Palam, Delhi NCR ",₹750per plate,220-500,,+2 more
The Imperial,4.6,10 reviews,5 Star Hotel,"Connaught Place, Delhi NCR ","₹4,000per plate",150-1000,238,+3 more
The Crystal Palace,5.0,3 reviews,Banquet Hall,"Rohini, Delhi NCR ",₹849per plate,420-700,22,+3 more
Sanssara Banquet,5.0,1 review,Banquet Hall,Ghaziabad ,Price on Request,550-800,2,+3 more
Baba Natha Singh Vatika,5.0,1 review,Banquet Hall & Lawn,"West Delhi, Delhi NCR ","₹1,400per plate",70-800,,+2 more
The Roseate,,21 reviews,5 Star Resort,"Aerocity, Delhi NCR ","₹6,000per plate",50-200,65,+4 more
The Alpha Banquets,5.0,2 reviews,Banquet Hall,"East Delhi, Noida ",₹590per plate,100-150,19,+4 more
Ashirwad Restaurant & Banquet Hall,,5 reviews,Banquet Hall,"Sector 16, Faridabad ",₹600per plate,90-300,,+3 more
Eros Hotel,4.8,16 reviews,5 Star Hotel,Delhi NCR ,"₹3,500per plate",60-800,216,+3 more
Centaur Hotel,,5 reviews,Hotel,"Aerocity, Delhi NCR ","₹2,400per plate",20-1500,147,+3 more
Hotel Haris MG Road Gurugram,4.7,3 reviews,Hotel,"Sector 25, Gurgaon ","₹1,000per plate",100-150,43,+3 more
Aadat Residency,5.0,7 reviews,Banquet Hall,"Sector 47, Gurgaon ",₹900per plate,30-150,27,+3 more
Notting Hills,5.0,1 review,Large Banquet Hall,"Sector 17, Gurgaon ","₹3,000per plate",400-1500,2,+3 more
Star Continental,,3 reviews,Hotel with Banquet & Lawn,Greater Noida ,"₹1,500per plate",1200-1500,35,+3 more
GPL AC Mahal,5.0,2 reviews,Convention Hall,Chennai ,₹350per plate,800-1200,,+2 more
Cinemascope an Apart Hotel,5.0,1 review,Banquet Hall & Lawn,"Palavakkam, Chennai ",₹550per plate,80-350,20,+3 more
Laxmi Narayan Mahal,,2 reviews,Banquet Hall,"Tambaram, Chennai ",₹300per plate,600-900,10,+3 more
Anugraha A/C Marriage Hall,5.0,1 review,Banquet Hall,"Velachery, Chennai ",₹500per plate,300-500,,+2 more
Raj Park,,7 reviews,Convention Hall,Chennai ,"₹1,000per plate",600-1000,,+2 more
Arul Murugan Towers,,7 reviews,Convention Hall,"Sholinganallur, Chennai ","₹1,400per plate",650-2000,,+2 more
ITC Grand Chola Hotel,,14 reviews,Hotel,"Guindy, Chennai ",Price on Request,1440-2400,,+2 more
Ruckmani Ramjee Convention Halls,5.0,1 review,Convention Hall,Chennai ,Price on Request,400-1000,14,+3 more
LakeView Party Hall & Open Air Theater,5.0,1 review,Banquet Hall,Chennai ,Price on Request,50-200,1,+3 more
Anand Chandrasekhar Mini Hall,,1 review,Banquet Hall,"West Mambalam, Chennai ",₹400per plate,200-250,,+2 more
Hotel Grand Palace,5.0,1 review,Hotel,"Chromepet, Chennai ",₹700per plate,250-400,36,+3 more
Shrivaaru Venkataachalapathy Palace,5.0,1 review,Banquet Hall,"Maduravoyal, Chennai ",Price on Request,120-800,20,+3 more
NSR Mahal,,,Banquet Hall,Chennai ,₹450per plate,120-150,2,+3 more
The Elite Grand,,2 reviews,5 Star Hotel,Chennai ,₹950per plate,500-1000,178,+3 more
Treetops Inn,,,Banquet Hall,Chennai ,"₹35,000per function",100-150,1,+4 more
Fortel Hotel,5.0,2 reviews,Hotel,"Egmore, Chennai ",₹750per plate,40-200,82,+3 more
Sri Ratna Mini Hall,5.0,1 review,Banquet Hall,"Ramapuram, Chennai ",₹200per plate,60-100,,+2 more
"Taj Connemara, Chennai",5.0,4 reviews,Banquet Hall,"Anna Salai, Chennai ","₹2,200per plate",540-900,,+2 more
Raj Banquets,5.0,3 reviews,Banquet Hall,Chennai ,₹300per plate,150-200,,+3 more
Rina's Venue,4.9,45 reviews,Homely Lawn with Banquet,"Injambakkam, Chennai ",Rental Only,120-800,4,+6 more
Rainforest Villa,,,Banquet Hall & Lawn,Lonavala ,₹500per plate,150-1000,23,+3 more
"Vishnukrupa Hall, Shaniwar Peth",,7 reviews,Banquet Hall,"Shaniwar Peth, Pune ",₹360per plate,600-800,,+3 more
The Bark Resort,,6 reviews,Intimate Wedding Resort,Lonavala ,₹750per plate,100-250,34,+4 more
Discover Resort Khandala,,,Resort,Lonavala ,"₹3,500per plate",100-250,60,+3 more
Dutch Palace,5.0,1 review,Wedding Lawn,"Bund Garden Road, Pune ","₹50,000per function",800-1200,,+3 more
Sun-N-Sand,5.0,1 review,Banquet Hall,Pune ,₹750per plate,2400-4000,,+2 more
Iris Lawn & Banquet,5.0,2 reviews,Hotel,Pune ,₹675per plate,600-1000,80,+3 more
Sheraton Grand Pune,4.7,9 reviews,5 Star Hotel,Pune ,"₹3,000per plate",700-1000,179,+3 more
"Sayaji, Kholapur",,2 reviews,Lawn & Banquet Hall,Pune ,"₹1,650per plate",300-1200,19,+3 more
Shri Swami Krupa Hall,,1 review,Banquet Hall,"Kothrud, Pune ",₹300per plate,300-450,,+2 more
K Rocks Resort Lakeside Camping,,,Wedding Lawn,Pune ,₹500per plate,800-850,,+2 more
SaffronStays Satori,,,Wedding Lawn,Pune ,Price on Request,60-100,2,+3 more
St Laurn Hotel,4.6,4 reviews,4 Star Hotel,"Koregaon Park, Pune ",₹750per plate,48-150,63,+3 more
Raaga Heritage Banquets & Lawns,5.0,1 review,Lawn & Banquet Hall,Pimpri Chinchwad ,₹700per plate,500-1500,12,+3 more
The Coronet,,4 reviews,Banquet Hall,Pune ,₹575per plate,120-200,,+2 more
"Saj Resort, Mahabaleshwar",5.0,2 reviews,Resort,Pune ,₹550per plate,150-600,78,+3 more
Hotel Sancheti Lawns,5.0,1 review,Wedding Lawn,Lonavala ,"₹50,000per function",1500-2200,,+3 more
E-Square,4.7,6 reviews,Lawn & Banquet Hall,Pune ,₹650per plate,90-250,,+2 more
"Aquaris Resort, Sinhagad Road",,1 review,Resort,Pune ,₹430per plate,500-750,15,+3 more
Squirrel Resort,5.0,12 reviews,Resort,Pune ,₹450per plate,10-750,20,+3 more
Boons Restaurant,,,Party Restaurant / Lounge,"Aliganj, Lucknow ",₹350per plate,100-120,,+2 more
Mangalam Lawn & Banquet,,,Hotel,Lucknow ,₹800per plate,900-1200,35,+4 more
BM Hall,,,Banquet Hall,"Baraura Hussain Bari, Lucknow ",₹600per plate,150-250,,+2 more
Sriram Guest House,,,Lawn & Banquet Hall,Lucknow ,₹500per plate,180-600,,+2 more
Prakash Marriage Hall,,,Wedding Lawn,Lucknow ,₹650per plate,150-250,,+2 more
Green Lawn,,,Wedding Lawn,"Vikas Nagar, Lucknow ",₹800per plate,2200-3000,,+2 more
MK Palace,,,Banquet Hall,Lucknow ,"₹45,000per function",400-600,,+3 more
Bedi Dream Land Hotel and Resort,,,Lawn & Banquet Hall,Lucknow ,₹600per plate,180-600,11,+3 more
Smoke Lounge,,,Lawn & Banquet Hall,"Vikas Nagar, Lucknow ",₹300per plate,50-250,,+2 more
Mannat Marriage Hall,,,Banquet Hall,"Baraura Hussain Bari, Lucknow ",₹600per plate,650-1000,,+2 more
Laxmi Niwas Guest House,,,Banquet Hall & Lawn,"Lalbagh, Lucknow ",₹450per plate,100-250,,+2 more
Gokul Lawn,,,Wedding Lawn,Lucknow ,₹800per plate,320-500,,+2 more
Suman Vatika,,,Lawn & Banquet Hall,"Alambagh, Lucknow ",₹700per plate,150-700,,+2 more
Rim Jhim Palace,,,Banquet Hall,Lucknow ,₹450per plate,100-150,,+2 more
The Golden Banquet,,,Banquet Hall,Lucknow ,₹799per plate,350-500,2,+3 more
Maan Lawn,,,Wedding Lawn,"Triveni Nagar, Lucknow ",₹600per plate,500-700,,+2 more
Hotel Rishabh & Banquet,,,Banquet Hall,Lucknow ,₹600per plate,100-150,18,+3 more
"V Hotel, Lucknow",,,Hotel,"Naka Hindola, Lucknow ",₹750per plate,100-150,35,+3 more
Hotel Silvete,,,Banquet Hall & Lawn,"Hazratganj, Lucknow ","₹1,100per plate",60-150,27,+3 more
Kamini Utsav Lawn,,,Wedding Lawn,"SGPGI Rae Bareilly Road, Lucknow ",₹300per plate,200-300,,+2 more
Aloha The Outhouse,,,Farmhouse,Jaipur ,"₹35,000per function",70-80,5,+4 more
Buffet House,5.0,1 review,Banquet Hall,"Jawahar Nagar, Jaipur ",₹450per plate,80-300,,+2 more
Kanha Hotel,,,Hotel,Jaipur ,"₹10,000per function",60-70,20,+4 more
Novotel Jaipur Convention Centre,5.0,1 review,5 Star Hotel,"Sitapura, Jaipur ","₹2,500per plate",1000-2000,226,+4 more
Mahalaxmi Paradise,5.0,1 review,Banquet Hall,"Niwaru Road, Jaipur ",₹450per plate,200-4000,,+2 more
Hotel Milestone 251,,6 reviews,Banquet Hall,"Bani Park, Jaipur ",₹600per plate,125-150,20,+3 more
Amer Valley by Parfait,,,Banquet Hall,"Amer Road, Jaipur ","₹1,500per plate",70-150,28,+3 more
Hotel Magenta,5.0,1 review,Hotel,Jaipur ,₹600per plate,150-150,33,+3 more
R K Lawn,5.0,1 review,Wedding Lawn,"Mansarovar, Jaipur ",Price on Request,1200-2000,,+2 more
Neemrana Fort Palace Alwar,4.5,10 reviews,4 Star Fort / Palace Hotel,Neemrana ,"₹2,800per plate",70-250,80,+5 more
Raj Kothi Banquet,,,Banquet Hall,Jaipur ,₹600per plate,100-120,7,+4 more
Hotel Krishna Restaurant,4.8,2 reviews,Party Restaurant / Lounge,"Lal Kothi, Jaipur ",₹400per plate,100-140,25,+3 more
The Ramvati Resort,,,Farmhouse,Jaipur ,"₹51,000per function",500-600,4,+4 more
JJ Valley Hotel,5.0,3 reviews,Banquet Hall & Lawn,"Mansarovar, Jaipur ","₹3,69,000per function",80-1500,26,+4 more
Cambay Golf Resort,5.0,6 reviews,Lawn & Banquet Hall,Jaipur ,₹600per plate,180-1000,,+2 more
Hotel Fortune Prime,5.0,3 reviews,Hotel with Banquet & Lawn,Jaipur ,"₹1,000per plate",1000-1500,31,+3 more
Madan Vilas,5.0,2 reviews,Lawn & Banquet Hall,"Mansarovar, Jaipur ","₹1,200per plate",180-500,,+2 more
Castle Mandawa,5.0,4 reviews,Fort / Palace Hotel,Jaipur ,"₹1,500per plate",60-800,80,+3 more
Navkar Farms,5.0,1 review,Wedding Lawn,Jaipur ,"₹51,000per plate",100-150,10,+4 more
The Oasis Farm,,,Farmhouse,Jaipur ,"₹30,000per function",40-60,6,+4 more
Florence By Kohli,4.9,4 reviews,Banquet Hall,"Rajouri Garden, Delhi NCR ",Price on Request,350-500,,+2 more
White Castle Banquet,5.0,2 reviews,Large Banquet Hall,Ghaziabad ,"₹2,400per plate",400-600,8,+3 more
Shivay The Banquet,4.7,3 reviews,Banquet Hall,"Jhilmil Industrial Area, Delhi NCR ",Price on Request,200-300,,+2 more
Jaypee Vasant Continental,4.6,11 reviews,5 Star Hotel,"Vasant Vihar, Delhi NCR ","₹3,800per plate",20-800,119,+3 more
Vrindavan Grand,5.0,6 reviews,Banquet Hall & Lawn,"Surajkund, Faridabad ","₹1,850per plate",150-800,2,+3 more
Holiday Inn Mayur Vihar,,19 reviews,4 Star Hotel,"Mayur Vihar, Delhi NCR ","₹2,500per plate",60-550,193,+3 more
Ginger Faridabad,4.5,1 review,Banquet Hall,"Sector 15, Faridabad ","₹1,000per plate",60-120,25,+3 more
