Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Aher Garden,4.5,2 reviews,Banquet Hall,"Nigdi, Pimpri Chinchwad ",₹800per plate,300-4000,12,+3 more
The Corinthians Resort & Club,4.8,19 reviews,5 Star Hotel,"Undri, Pune ","₹1,600per plate",300-1000,181,+4 more
The Grand Heritage Resorts,4.9,250 reviews,Hotel with Banquet & Lawn,Pune ,₹750per plate,100-2000,49,+7 more
Riverside County Resort Amba Ghat,5.0,1 review,Resort,Amba ,Price on Request,200-1000,64,+3 more
Oxford Golf Resort,4.8,24 reviews,4 Star Resort,Pune ,"₹1,800per plate",12-550,140,+4 more
Aaditya Inn Rooms Banquet Hall,5.0,4 reviews,Hotel,"Pimpri Chinchwad, Pimpri Chinchwad ",₹699per plate,50-300,21,+3 more
The Amora Estate,5.0,18 reviews,Hotel,Pune ,₹600per plate,200-4500,32,+4 more
"Fort JadhavGADH, Pune",5.0,1 review,Heritage Hotel Near Pune,"Saswad, Pune ","₹2,899per plate",100-900,58,+3 more
Nakshatra Palace,5.0,39 reviews,Hotel with Banquet & Lawn,Pune ,₹800per plate,350-1500,9,+6 more
Mauli Agro Farm,5.0,17 reviews,Resort Near Pune,Pune ,₹649per plate,100-4000,50,+3 more
Raaga Palace,4.9,9 reviews,Banquet Hall & Lawn,Pimpri Chinchwad ,₹750per plate,800-1800,3,+6 more
"The Grand Legacy Resort and Spa, Mahabaleshwar",4.8,15 reviews,Wedding Resort,Mahabaleshwar ,"₹1,300per plate",200-600,74,+4 more
Trident Lawn,4.9,62 reviews,Wedding Lawn,"Vrindavan Colony, Lucknow ","₹1,000per plate",900-1500,7,+6 more
Shakuntalam Lawn & Resort,5.0,1 review,Wedding Lawn,Lucknow ,Price on Request,700-2500,8,+3 more
Hotel Galaxy Grand,5.0,4 reviews,Hotel with Banquet,Lucknow ,"₹1,050per plate",70-200,40,+3 more
The Magnolia,5.0,34 reviews,Large Wedding Lawn,"Chinhat, Lucknow ",₹900per plate,1800-2500,,+6 more
SAS One Farms,5.0,8 reviews,Large Wedding Lawn,Lucknow ,"₹1,199per plate",100-1000,4,+4 more
Rosewood Gardens,5.0,28 reviews,Large Wedding Lawn,Lucknow ,"₹1,200per plate",50-1500,24,+8 more
Amaraa Farm,4.5,35 reviews,Banquet Hall & Lawn,Lucknow ,₹850per plate,200-750,26,+5 more
R Venetian Banquet And Hotel,4.5,2 reviews,Banquet Hall,"Indira Nagar, Lucknow ","₹1,200per plate",300-500,15,+3 more
Prithvi Resort,4.9,19 reviews,Hotel with Banquet & Lawn,Lucknow ,₹800per plate,30-700,75,+6 more
Aurelia Grand Hotel and Banquets,5.0,9 reviews,Hotel with Banquet,"Chinhat, Lucknow ","₹1,000per plate",50-200,20,+3 more
IIDM Eco Centre,4.5,13 reviews,Large Lawn & Banquet,"Gomti Nagar, Lucknow ","₹2,500per plate",60-3000,17,+3 more
Mercure Lucknow Gomti Nagar,4.8,2 reviews,4 Star Hotel,Lucknow ,"₹2,500per plate",100-400,109,+5 more
Kingship by Kahlon,4.8,11 reviews,Hotel with Banquet,"Vrindavan Colony, Lucknow ","₹1,200per plate",80-400,35,+4 more
Marino Water Park and Resort,,14 reviews,Resort with Banquet,Lucknow ,₹899per plate,150-3500,32,+4 more
Hotel The Leaf & Lawn,4.5,31 reviews,Hotel with Banquet & Lawn,"Gomti Nagar, Lucknow ","₹1,000per plate",100-700,37,+4 more
Zaarang Inn Hotel Banquet & Lawn,4.9,52 reviews,Hotel with Banquet & Lawn,Lucknow ,₹950per plate,50-1200,50,+8 more
Dev Greens Lawns,4.9,18 reviews,Lawn & Banquet Hall,Lucknow ,"₹1,000per plate",60-3000,21,+4 more
International Shri Vidya Resort,5.0,4 reviews,Resort,Lucknow ,"₹1,900per plate",2000-3000,16,+3 more
Hotel Ashiyana Residency,5.0,15 reviews,Hotel with Banquet & Lawn,Lucknow ,₹800per plate,50-1700,32,+6 more
Hometel Alambagh Lucknow,5.0,12 reviews,Hotel,"Alambagh, Lucknow ","₹2,100per plate",80-700,104,+4 more
Stardom Resort Jaipur,5.0,22 reviews,4 Star Hotel,"Bhankrota, Jaipur ","₹2,000per plate",400-2000,94,+4 more
Ridhi Resorts,5.0,1 review,Resort w/ Lawn & Banquet,"Sanganer, Jaipur ","₹1,000per plate",100-1500,70,+4 more
Beelwa Palace Jaipur,,9 reviews,Fort / Palace Hotel,"Sanganer, Jaipur ","₹2,500per plate",150-2500,125,+3 more
Sarovar Premiere Alwar,5.0,2 reviews,4 Star Hotel,Alwar ,"₹1,400per plate",500-800,78,+3 more
Samode Palace,4.7,17 reviews,5 Star Hotel,"Chomu, Jaipur ","₹4,500per plate",48-700,43,+5 more
Hotel Raj Bagh Palace,4.8,7 reviews,4 Star Hotel,"Amer, Jaipur ","₹2,000per plate",75-3000,60,+4 more
The Raj Palace by Small Luxury Hotels of The World,4.7,17 reviews,5 Star Hotel,"Amer Road, Jaipur ","₹4,500per plate",80-1200,59,+3 more
Amayra The Luxury Resort,4.9,4 reviews,Resort,Jaipur ,"₹1,500per plate",100-1000,70,+4 more
The Leela Palace Jaipur,4.7,12 reviews,Luxury Palace Hotel,"Kukas, Jaipur ","₹7,000per plate",40-2000,200,+4 more
Ramada by Wyndham Jaipur,4.8,6 reviews,4 Star Hotel,"Raja Park, Jaipur ","₹1,999per plate",20-600,160,+3 more
Caelum Atharva Palace,4.5,23 reviews,Palace Hotel,"Ajmer Road, Jaipur ","₹1,500per plate",100-2800,70,+5 more
The Galaxy Resort & Convention Centre,5.0,5 reviews,Resort,"Sanganer, Jaipur ","₹2,500per plate",80-6000,200,+4 more
Hotel Prime Safari,5.0,2 reviews,Hotel with Banquet & Lawn,"Sanganer, Jaipur ","₹1,100per plate",80-1000,53,+5 more
Achrol Niwas A Treehouse Resort,4.7,3 reviews,Resort Near Jaipur,"Kukas, Jaipur ","₹1,500per plate",320-3000,60,+4 more
Bamboo Saa Sunrrise Weddings & Wellness Resort | Jaipur,,8 reviews,Hill View Resort,"Kukas, Jaipur ","₹1,800per plate",250-800,94,+4 more
SwapanLok Resort,5.0,3 reviews,Hotel with Banquet & Lawn,Jaipur ,₹799per plate,150-1000,40,+4 more
Marigold Hotel,5.0,8 reviews,4 Star City Center Hotel,"Sitapura, Jaipur ","₹1,799per plate",100-2000,75,+4 more
Umaid Palace -  A Lakeside Heritage Palace Resort,4.8,34 reviews,Heritage Palace Resort,Jaipur ,"₹3,500per plate",50-300,73,+6 more
Hotel Ranavilas Palace,,,Wedding Destination	,"Sitapura, Jaipur ","₹1,800per plate",100-1000,80,+3 more
Nirbana Palace A Heritage Hotel,5.0,16 reviews,Heritage Palace Hotel,"Bani Park, Jaipur ","₹1,800per plate",80-350,34,+4 more
Jawahar Garden & Banquet,5.0,15 reviews,Farmhouse,Gurgaon ,"₹1,300per plate",200-2500,4,+4 more
Grand Hyatt Gurgaon,,2 reviews,5 Star Luxury Hotel,Gurgaon ,"₹6,000per plate",300-800,214,+3 more
Eden Garden Lawn 1,5.0,5 reviews,Banquet Hall & Lawn,Faridabad ,"₹1,200per plate",300-1500,2,+5 more
Jain Farms,4.9,17 reviews,Farmhouse,"Sohna Road, Gurgaon ","₹1,500per plate",1200-1600,5,+3 more
Kanerbaag,5.0,19 reviews,Farm with Glasshouse,Gurgaon ,"₹1,850per plate",700-800,6,+6 more
Royal Swan Banquet,,24 reviews,Banquet Hall & Lawn,Gurgaon ,"₹1,900per plate",75-1000,2,+5 more
The Royale Palace Banquet By Khanak,4.9,29 reviews,Large Banquet with Lawn,Noida ,"₹2,850per plate",200-1500,2,+7 more
Goa Country Club by Pearl,4.5,2 reviews,Club / Cultural Center,"Palam Vihar, Gurgaon ","₹1,500per plate",50-1000,18,+3 more
Vivaah Banquets by Veda Luxury Hospitality,,3 reviews,Hotel,Gurgaon ,"₹1,400per plate",30-250,30,+4 more
